bin,bid,YearBuilt,BuildingType,NumberofFloors,PropertyGFATotal,SiteEnergyUse(kBtu),geometry,Building Age,Total Carbon
434,140676018,1999,Commercial,5,206950,16759163.0,POINT (550413.0251794073 5273172.781893655),23,1807979.2808812289
438,333369577,1992,Commercial,14,690158,28281394.0,POINT (550787.312914966 5273088.225082101),30,3050998.0949787707
442,512681243,2018,Commercial,12,934154,22226244.0,POINT (549372.3132462134 5274472.060417971),4,2397768.2324475707
443,144481465,1981,Commercial,5,275734,6222286.0,POINT (547970.2253999622 5274460.350510739),41,671260.5019545032
446,231288119,1963,Institutional,1,59090,4225554.0,POINT (550751.8309221609 5266360.286561466),59,455852.9612871956
452,217604404,2001,Commercial,7,139200,4447716.0,POINT (550466.3278314333 5275349.483598799),21,479819.808139818
456,202353910,1996,Commercial,5,228460,5129675.0,POINT (549438.8575651366 5275308.441738189),26,553389.5766545392
457,212809360,2001,Commercial,3,103697,13716514.0,POINT (549624.2099966997 5277362.888078141),21,1479738.16579726
458,221205221,1974,Commercial,5,74880,4259281.0,POINT (550522.7759857989 5283293.649788411),48,459491.4316097457
459,39944917,1979,Commercial,6,88774,5422834.0,POINT (550520.7990899958 5283175.8160329405),43,585015.5831564069
460,39944897,1983,Commercial,5,127392,7773960.0,POINT (550508.8366061682 5283084.57095462),39,838655.1649625604
461,54582940,1979,Commercial,4,53730,4266740.0,POINT (550652.2257587089 5283248.094557767),43,460296.10887531633
462,228916810,1960,Commercial,3,55593,2999291.0,POINT (547826.1570750426 5268382.879311377),62,323563.65203522047
464,86579915,2005,Commercial,1,158415,22218768.0,POINT (550340.1291451489 5268203.9516400695),17,2396961.7212212123
465,231664575,1929,Commercial,8,287819,50819812.0,POINT (549856.5190822836 5274176.08876666),93,5482443.673009162
467,41292345,1999,Commercial,1,164437,15384629.0,POINT (547409.8883054194 5278768.215074297),23,1659694.4892799535
468,148409880,2009,Commercial,5,184482,5024381.0,POINT (549773.6720124854 5274725.552963894),13,542030.455056336
469,231658299,1928,Commercial,3,60375,11724608.0,POINT (549783.2009765756 5274665.615541778),94,1264851.2542335377
470,231658826,2003,Commercial,4,258505,41916488.0,POINT (549776.5797073417 5274561.081785097),19,4521952.667403895
473,148411844,2009,Commercial,5,271071,9685505.0,POINT (549920.3670148489 5274705.690081341),13,1044872.728123209
475,543612316_0,2002,Commercial,5,560516,28808348.0,POINT (550310.2999248292 5275233.653527427),20,3107845.9169122097
476,217604448,2001,Commercial,6,226592,8688759.0,POINT (550242.6725162211 5274972.9878953695),21,937343.7234646088
480,231663378,2003,Commercial,5,159700,24006136.0,POINT (549678.6581702237 5274412.422146987),19,2589783.0638688207
481,492680047,2006,Commercial,4,209816,5441736.0,POINT (549784.4529134625 5274431.108299307),16,587054.7317921243
482,231663377,2006,Commercial,6,303103,7453916.0,POINT (549731.9123516113 5274423.990944689),16,804128.803415128
486,231761547,1964,Commercial,4,127735,6868718.0,POINT (548396.6292843826 5274600.5850421),58,740997.6160632814
489,231761503,1974,Commercial,5,88062,2861648.0,POINT (548112.0550072092 5274392.609533645),48,308714.71881830896
492,231761506,1985,Commercial,4,86995,1333726.0,POINT (548311.455341544 5274269.776189487),37,143882.42267066665
493,231761502,1971,Commercial,5,94278,3287892.0,POINT (548264.7665641983 5274281.615348703),51,354697.94128591893
497,231265745,1997,Commercial,4,98475,739434.0,POINT (547294.3016883252 5268573.049332207),25,79770.17417750102
498,217604464,2000,Commercial,7,351530,46825856.0,POINT (550364.6962493586 5275025.168606542),22,5051575.514691752
503,226177349,2008,Commercial,1,63225,7981571.0,POINT (549810.8837849065 5268605.091677097),14,861052.2492610442
504,228915496,1955,Institutional,1,113780,3790738.0,POINT (548608.4083627544 5268209.285106638),67,408944.9910624503
507,616359740,1999,Commercial,1,326751,25648048.0,POINT (549449.0699176908 5268072.967097398),23,2766912.606497546
513,223782743,1952,Commercial,3,66462,7330631.0,POINT (549501.3684346533 5275998.078061995),70,790828.8119034133
514,39706535,1997,Commercial,1,131387,7606152.0,POINT (548944.0134219279 5285445.291211912),25,820552.0301481237
515,220550086,1999,Commercial,3,94400,1766378.0,POINT (549423.9295379882 5285809.474494504),23,190556.9404751552
518,400494145,1967,Commercial,1,114000,16384729.0,POINT (549245.1325249143 5285933.552466132),55,1767585.3236139426
519,400494144,1997,Commercial,1,50083,8271562.0,POINT (549275.5012162339 5285801.544211714),25,892336.4917761405
